pid,event_id,dt,ts,duration_in_sec,store_id,floor_id,pair_id,pid_dt,store_name,type_by_brand,store_name_eng,pid_count,pid_id,q1,q2,q3,bucket,store_duration
ZHDC_foshan_hyc_20230311_clusterid_14591,7,2023-03-11,1678515025,,zhdc-foshan-hyc-L327-2-N,L3,1,174378,玩具反斗城,儿童,Toy showdown,2,931501,68.0,229.0,917.0,Q4,Toy showdown_Q4
ZHDC_foshan_hyc_20230118_clusterid_23064,7,2023-01-18,1674019345,252.0,zhdc-foshan-hyc-L123-N,L1,92,333191,星巴克,餐饮,Starbucks,21,239955,59.0,406.0,2865.0,Q2,Starbucks_Q2
tmpPID_zhdc_foshan_hyc_cluster_11421,7,2023-04-08,1680919746,36.0,zhdc-foshan-hyc-L124-N,L1,1,2260326,APPLE,零售,Apple,104,4105023,58.0,144.0,372.0,Q1,Apple_Q1
ZHDC_foshan_hyc_20230730_clusterid_34218,6,2023-07-30,1690715301,70.0,zhdc-foshan-hyc-L321-1-N,L3,55,1311520,江博士/DrKong,儿童,Dr. kong,9,2996898,68.0,229.0,917.0,Q2,Dr. kong_Q2
ZHDC_foshan_hyc_20230714_clusterid_15087,6,2023-07-14,1689331945,782.0,zhdc-foshan-hyc-B110-N,B1,10,912022,沃尔玛,主力店,Walmart,2,2698397,131.0,634.0,1537.0,Q3,Walmart_Q3
ZHDC_foshan_hyc_20230503_clusterid_7909,7,2023-05-03,1683097803,,zhdc-foshan-hyc-B122-B123-N,B1,1,1202192,The Green Party,零售,The green party,10,1667362,58.0,144.0,372.0,Q4,The green party_Q4
ZHDC_foshan_hyc_20230317_clusterid_21697,7,2023-03-17,1679029870,,zhdc-foshan-hyc-L425-N,L4,1,288364,敏华冰厅,餐饮,Minhua ice hall,2,1011226,59.0,406.0,2865.0,Q4,Minhua ice hall_Q4
ZHDC_foshan_hyc_20230723_clusterid_26886,7,2023-07-23,1690112490,3879.0,zhdc-foshan-hyc-L327-1-N,L3,58,1138945,星际传奇,儿童,Star legend,9,2868085,68.0,229.0,917.0,Q4,Star legend_Q4
ZHDC_foshan_hyc_20230104_clusterid_4478,6,2023-01-04,1672808111,2007.0,zhdc-foshan-hyc-B139-N,B1,13,70028,池奈.日式咖喱蛋包饭,餐饮,Ichina japanese curry,10,49295,59.0,406.0,2865.0,Q3,Ichina japanese curry_Q3
ZHDC_foshan_hyc_20230609_clusterid_11651,6,2023-06-09,1686317672,823.0,zhdc-foshan-hyc-B153-N,B1,29,163966,初糖,餐饮,Initial sugar,9,2149252,59.0,406.0,2865.0,Q3,Initial sugar_Q3
ZHDC_foshan_hyc_20230526_clusterid_5171,6,2023-05-26,1685108872,16.0,zhdc-foshan-hyc-B110-N,B1,59,1598555,沃尔玛,主力店,Walmart,9,1947535,131.0,634.0,1537.0,Q1,Walmart_Q1
ZHDC_foshan_hyc_20230618_clusterid_253,7,2023-06-18,1687068923,80.0,zhdc-foshan-hyc-L116-N,L1,27,358019,奈雪の茶,餐饮,Nayuki tea,5,2291310,59.0,406.0,2865.0,Q2,Nayuki tea_Q2
ZHDC_foshan_hyc_20230805_clusterid_4419,6,2023-08-05,1691243174,112.0,zhdc-foshan-hyc-L135-1-N,L1,42,1446180,adidas,零售,Adidas,5,3094748,58.0,144.0,372.0,Q2,Adidas_Q2
